status,"convert(date,date)",sum(amount),count(trans_id),"count(distinct client_id)"
A,1993-06-07,76831.5,4,4
A,1993-06-08,46449,3,3
A,1993-06-09,65950,4,3
A,1993-06-10,132519,8,8
A,1993-06-11,83934,7,7
A,1993-06-12,95467,4,4
A,1993-06-13,168441,11,11
A,1993-06-14,137235,5,5
A,1993-06-15,17308,2,2
A,1993-06-16,74564,4,4
A,1993-06-17,23700,4,4
A,1993-06-18,88720,6,6
A,1993-06-19,134499,7,7
A,1993-06-20,44054,4,4
A,1993-06-21,77899,5,5
A,1993-06-22,161573,5,5
A,1993-06-23,66586,6,5
A,1993-06-24,54300,3,3
A,1993-06-25,76600,3,3
A,1993-06-26,216399,8,5
A,1993-06-27,64233,5,5
A,1993-06-28,49302,3,3
A,1993-06-29,74398,4,4
A,1993-06-30,110570.6999874115,79,49
A,1993-07-01,36900,2,2
A,1993-07-02,65418,5,4
A,1993-07-03,10700,2,2
A,1993-07-04,20300,3,3
A,1993-07-05,41014,6,6
A,1993-07-06,149100,9,8
A,1993-07-07,161948,13,12
A,1993-07-08,88411,4,4
A,1993-07-09,148109,9,9
A,1993-07-10,78066,8,8
A,1993-07-11,80405,12,12
A,1993-07-12,108951,7,7
A,1993-07-13,158331,14,13
A,1993-07-14,164932,7,7
A,1993-07-15,87374,3,2
A,1993-07-16,48100,5,5
A,1993-07-17,15200,2,2
A,1993-07-18,73019,6,6
A,1993-07-19,179543,9,8
A,1993-07-20,18400,3,3
A,1993-07-21,48600,5,5
A,1993-07-22,164072,6,5
A,1993-07-23,28280,3,3
A,1993-07-24,144340,6,5
A,1993-07-25,207037,7,5
A,1993-07-26,55527,6,6
A,1993-07-27,55308,6,6
A,1993-07-28,59029,5,5
A,1993-07-29,90653,5,5
A,1993-07-30,138046,5,4
A,1993-07-31,87100.3000535965,97,58
A,1993-08-01,11800,3,3
A,1993-08-02,82628,5,4
A,1993-08-03,155985,4,3
A,1993-08-04,69958,6,6
A,1993-08-05,197205,11,11
A,1993-08-06,151328,9,7
A,1993-08-07,83785,12,10
A,1993-08-08,90617,4,4
A,1993-08-09,90560,7,7
A,1993-08-10,332964,15,14
A,1993-08-11,95006,8,8
A,1993-08-12,202979.30004882812,15,12
A,1993-08-13,139173,10,9
A,1993-08-14,210305,9,8
A,1993-08-15,51945,5,4
A,1993-08-16,20746,4,4
A,1993-08-17,86350,8,8
A,1993-08-18,71400,7,6
A,1993-08-19,160246,8,7
A,1993-08-20,89343,10,9
A,1993-08-21,39200,3,3
A,1993-08-22,96552,5,5
A,1993-08-23,49425,3,3
A,1993-08-24,27173,3,3
A,1993-08-25,28000,4,4
A,1993-08-26,81089,4,3
A,1993-08-27,108845,6,6
A,1993-08-28,13800,3,2
A,1993-08-29,83844,4,4
A,1993-08-30,81824,5,5
A,1993-08-31,83381.90006351471,115,68
A,1993-09-01,5240,2,2
A,1993-09-02,55742,4,4
A,1993-09-03,73634,8,8
A,1993-09-04,77086,6,6
A,1993-09-05,288686,16,13
A,1993-09-06,123338,13,13
A,1993-09-07,174659,14,13
A,1993-09-08,239055,9,8
A,1993-09-09,171492,10,8
A,1993-09-10,161654,10,10
A,1993-09-11,93724,8,8
A,1993-09-12,159676,15,14
A,1993-09-13,76241,12,12
A,1993-09-14,105765,11,10
A,1993-09-15,27900,4,4
A,1993-09-16,109017,9,9
A,1993-09-17,86712,9,9
A,1993-09-18,101445,7,7
A,1993-09-19,51229,5,5
A,1993-09-20,85217,6,5
A,1993-09-21,125619,8,7
A,1993-09-22,83685,5,5
A,1993-09-23,45478,3,3
A,1993-09-24,61655,5,5
A,1993-09-25,35900,4,4
A,1993-09-26,73200,6,6
A,1993-09-27,112950,4,3
A,1993-09-28,10400,2,2
A,1993-09-29,99360,7,6
A,1993-09-30,74427.49995040894,133,76
A,1993-10-01,84656,4,2
A,1993-10-02,64061,4,4
A,1993-10-03,184534,11,10
A,1993-10-04,70000,5,5
A,1993-10-05,320858,21,17
A,1993-10-06,113624,10,10
A,1993-10-07,84966,9,8
A,1993-10-08,212341,14,13
A,1993-10-09,174336,13,12
A,1993-10-10,211796,16,16
A,1993-10-11,136201,11,11
A,1993-10-12,221566.80004882812,16,15
A,1993-10-13,176321,15,15
A,1993-10-14,148904,13,12
A,1993-10-15,115486,5,5
A,1993-10-16,32142,6,5
A,1993-10-17,177811,12,10
A,1993-10-18,109748,8,7
A,1993-10-19,87722,8,8
A,1993-10-20,118125,8,6
A,1993-10-21,111993,6,5
A,1993-10-22,74400,3,3
A,1993-10-23,43719,5,5
A,1993-10-24,52677,6,6
A,1993-10-25,110494,6,6
A,1993-10-26,73704,4,4
A,1993-10-27,118383,8,7
A,1993-10-28,9600,1,1
A,1993-10-29,57102,5,5
A,1993-10-30,114191,7,6
A,1993-10-31,115794.1999950409,151,85
A,1993-11-01,80406,4,4
A,1993-11-02,191959,14,12
A,1993-11-03,93911,6,6
A,1993-11-04,157089,11,9
A,1993-11-05,233089,16,14
A,1993-11-06,84085,9,9
A,1993-11-07,111864,11,11
A,1993-11-08,200016,14,13
A,1993-11-09,91926,9,9
A,1993-11-10,161826,12,12
A,1993-11-11,93583,12,12
A,1993-11-12,136535,16,16
A,1993-11-13,164024,16,15
A,1993-11-14,150658,11,10
A,1993-11-15,46510,6,6
A,1993-11-16,132000,10,9
A,1993-11-17,143272,8,7
A,1993-11-18,114015,13,12
A,1993-11-19,63643,5,5
A,1993-11-20,112525,7,7
A,1993-11-21,149872,11,9
A,1993-11-22,61783,5,5
A,1993-11-23,195044,10,8
A,1993-11-24,96719,9,9
A,1993-11-25,69049,6,6
A,1993-11-26,55364,8,8
A,1993-11-27,70295,5,5
A,1993-11-28,24200,2,2
A,1993-11-29,14000,2,2
A,1993-11-30,56829.400055885315,166,90
A,1993-12-01,67584,7,7
A,1993-12-02,211798,16,16
A,1993-12-03,122481,10,10
A,1993-12-04,201050,15,14
A,1993-12-05,356719,22,22
A,1993-12-06,183722,11,11
A,1993-12-07,273787,16,14
A,1993-12-08,408202,20,18
A,1993-12-09,290848.5,20,20
A,1993-12-10,403613,24,21
A,1993-12-11,197608,16,16
A,1993-12-12,330728.8996582031,23,21
A,1993-12-13,238621,18,18
A,1993-12-14,241720,15,14
A,1993-12-15,71864,9,8
A,1993-12-16,217564,17,16
A,1993-12-17,128470,8,8
A,1993-12-18,77607,6,6
A,1993-12-19,93960,8,6
A,1993-12-20,137123,11,10
A,1993-12-21,142015,10,10
A,1993-12-22,114282,10,9
A,1993-12-23,218037,12,11
A,1993-12-24,150624,9,8
A,1993-12-25,101833,8,8
A,1993-12-26,103301,9,9
A,1993-12-27,34462,5,5
A,1993-12-28,53720,8,8
A,1993-12-29,52620,6,6
A,1993-12-30,180981,6,5
A,1993-12-31,74627.49998474121,183,97
A,1994-01-01,177090,19,18
A,1994-01-02,233186,23,19
A,1994-01-03,192509,19,18
A,1994-01-04,127815,18,18
A,1994-01-05,394680,27,24
A,1994-01-06,242160,18,16
A,1994-01-07,183801,20,19
A,1994-01-08,327733,34,25
A,1994-01-09,248521,25,21
A,1994-01-10,272553,27,24
A,1994-01-11,185635,23,20
A,1994-01-12,326678.69970703125,37,29
A,1994-01-13,243141,28,22
A,1994-01-14,102811,19,19
A,1994-01-15,146387,18,15
A,1994-01-16,151043,20,18
A,1994-01-17,169501,20,19
A,1994-01-18,100429,16,16
A,1994-01-19,143395,20,17
A,1994-01-20,198782,21,20
A,1994-01-21,162622,19,15
A,1994-01-22,160567,18,18
A,1994-01-23,133987,18,18
A,1994-01-24,120634,17,16
A,1994-01-25,78360,14,14
A,1994-01-26,133998,20,19
A,1994-01-27,218841,19,17
A,1994-01-28,150895,18,15
A,1994-01-29,88437,10,10
A,1994-01-30,125505,11,10
A,1994-01-31,76650.5000057295,210,104
A,1994-02-01,103874,8,8
A,1994-02-02,73887,9,9
A,1994-02-03,168618,14,13
A,1994-02-04,41100,8,8
A,1994-02-05,302029,20,19
A,1994-02-06,209695,16,16
A,1994-02-07,212913,17,15
A,1994-02-08,328415,19,18
A,1994-02-09,163150,13,13
A,1994-02-10,207274,17,17
A,1994-02-11,131651,18,18
A,1994-02-12,245488.099609375,29,26
A,1994-02-13,204340,19,17
A,1994-02-14,198535,20,20
A,1994-02-15,117799,10,9
A,1994-02-16,92846,10,10
A,1994-02-17,33900,3,3
A,1994-02-18,104257,5,5
A,1994-02-19,128691,11,11
A,1994-02-20,101989,9,9
A,1994-02-21,45900,8,8
A,1994-02-22,129046,11,10
A,1994-02-23,13300,3,3
A,1994-02-24,70800,4,4
A,1994-02-25,82185,4,4
A,1994-02-26,42703,5,5
A,1994-02-27,118165,7,6
A,1994-02-28,50364.99999696016,213,105
A,1994-03-01,151368,6,4
A,1994-03-02,102059,8,8
A,1994-03-03,126114,6,6
A,1994-03-04,86585,10,10
A,1994-03-05,256078,24,22
A,1994-03-06,108951,10,10
A,1994-03-07,215524,16,14
A,1994-03-08,370242,23,20
A,1994-03-09,229313,16,16
A,1994-03-10,201905,19,18
A,1994-03-11,172381,18,16
A,1994-03-12,332619.69970703125,34,31
A,1994-03-13,228142,19,18
A,1994-03-14,160293,14,14
A,1994-03-15,116351,10,10
A,1994-03-16,106012,12,11
A,1994-03-17,139752,10,10
A,1994-03-18,81020,8,8
A,1994-03-19,145776,9,9
A,1994-03-20,48093,5,5
A,1994-03-21,126615,8,8
A,1994-03-22,69426,5,5
A,1994-03-23,64672,7,7
A,1994-03-24,135434,9,8
A,1994-03-25,12400,5,5
A,1994-03-26,70800,5,5
A,1994-03-27,123663,11,10
A,1994-03-28,46165,6,5
A,1994-03-29,76795,9,8
A,1994-03-30,49300,5,5
A,1994-03-31,165004.19999408722,220,106
A,1994-04-01,130585,9,9
A,1994-04-02,81941,9,9
A,1994-04-03,117265,8,7
A,1994-04-04,88432,10,10
A,1994-04-05,191806,15,14
A,1994-04-06,151251,16,16
A,1994-04-07,284858,24,21
A,1994-04-08,347659,23,20
A,1994-04-09,215692,21,20
A,1994-04-10,198757,17,16
A,1994-04-11,183411,18,17
A,1994-04-12,404333.9997558594,41,37
A,1994-04-13,172221,18,17
A,1994-04-14,137053,16,15
A,1994-04-15,196381,17,14
A,1994-04-16,82951,9,9
A,1994-04-17,126062,10,9
A,1994-04-18,133505,8,8
A,1994-04-19,98203,12,11
A,1994-04-20,94070,7,7
A,1994-04-21,84841,9,9
A,1994-04-22,133225,8,8
A,1994-04-23,259799,15,15
A,1994-04-24,166782,10,9
A,1994-04-25,193420,12,10
A,1994-04-26,23251,3,3
A,1994-04-27,128178,8,7
A,1994-04-28,33036,6,5
A,1994-04-29,75523,5,5
A,1994-04-30,222975.30002212524,230,108
A,1994-05-01,202060,12,11
A,1994-05-02,49900,8,7
A,1994-05-03,208876,15,15
A,1994-05-04,150304,14,13
A,1994-05-05,231135,20,20
A,1994-05-06,336415,19,15
A,1994-05-07,183128,18,17
A,1994-05-08,290367,19,17
A,1994-05-09,265154,20,20
A,1994-05-10,339296,24,24
A,1994-05-11,162036,18,17
A,1994-05-12,205209.99926757812,39,38
A,1994-05-13,370738,27,24
A,1994-05-14,111983,11,11
A,1994-05-15,108578,12,12
A,1994-05-16,134367,11,11
A,1994-05-17,161123,11,9
A,1994-05-18,68467,8,7
A,1994-05-19,151602,9,8
A,1994-05-20,95616,11,11
A,1994-05-21,114526,9,8
A,1994-05-22,88877,10,10
A,1994-05-23,218985,13,11
A,1994-05-24,76261,8,7
A,1994-05-25,111456,10,10
A,1994-05-26,145404,9,7
A,1994-05-27,50512,6,6
A,1994-05-28,128696,6,6
A,1994-05-29,41130,3,3
A,1994-05-30,128918,7,7
A,1994-05-31,200227.20006752014,241,111
A,1994-06-01,139022,8,8
A,1994-06-02,76142,9,9
A,1994-06-03,49918,9,9
A,1994-06-04,145697,11,11
A,1994-06-05,576165,33,31
A,1994-06-06,201963,16,16
A,1994-06-07,332528,21,20
A,1994-06-08,382318,19,18
A,1994-06-09,225778.5,17,15
A,1994-06-10,327063,21,21
A,1994-06-11,352348,25,21
A,1994-06-12,424942.7995605469,48,43
A,1994-06-13,287287,22,21
A,1994-06-14,237438.5,22,22
A,1994-06-15,93900,9,9
A,1994-06-16,50478,7,7
A,1994-06-17,97826,8,7
A,1994-06-18,72223,9,8
A,1994-06-19,116462,9,9
A,1994-06-20,182820,14,12
A,1994-06-21,99406,11,9
A,1994-06-22,354941,17,16
A,1994-06-23,194296,11,11
A,1994-06-24,99491,9,9
A,1994-06-25,298095,15,10
A,1994-06-26,143662,9,8
A,1994-06-27,136865,8,6
A,1994-06-28,224887,12,11
A,1994-06-29,106130,8,7
A,1994-06-30,138530.60012626648,245,113
A,1994-07-01,173558,11,10
A,1994-07-02,102024,9,9
A,1994-07-03,161750,12,10
A,1994-07-04,168885,12,11
A,1994-07-05,360619,26,26
A,1994-07-06,161255,18,17
A,1994-07-07,223312,17,16
A,1994-07-08,345251,22,21
A,1994-07-09,281279,19,19
A,1994-07-10,246755,26,23
A,1994-07-11,93480,14,12
A,1994-07-12,292818.6994628906,47,43
A,1994-07-13,146088,18,16
A,1994-07-14,325108,24,22
A,1994-07-15,176577,12,10
A,1994-07-16,76660,9,9
A,1994-07-17,116616,8,6
A,1994-07-18,66466,6,6
A,1994-07-19,113053,9,8
A,1994-07-20,166997,13,11
A,1994-07-21,170705,14,13
A,1994-07-22,73742,9,8
A,1994-07-23,81158,7,7
A,1994-07-24,140104,8,8
A,1994-07-25,91976,6,6
A,1994-07-26,216685,13,13
A,1994-07-27,28018,3,3
A,1994-07-28,67332,6,6
A,1994-07-29,85305,5,4
A,1994-07-30,98020,10,10
A,1994-07-31,219558.99995994568,252,115
A,1994-08-01,144854,11,11
A,1994-08-02,60546,11,11
A,1994-08-03,298124,14,13
A,1994-08-04,83241,8,8
A,1994-08-05,195443,21,21
A,1994-08-06,267760,19,18
A,1994-08-07,196140,15,14
A,1994-08-08,397924,22,21
A,1994-08-09,211492,18,18
A,1994-08-10,332408,25,23
A,1994-08-11,231469,19,17
A,1994-08-12,501285.7995605469,56,47
A,1994-08-13,412251,32,28
A,1994-08-14,236698,15,14
A,1994-08-15,180975,10,9
A,1994-08-16,34600,6,5
A,1994-08-17,113918,6,6
A,1994-08-18,111058,10,10
A,1994-08-19,217692,13,12
A,1994-08-20,168183,11,10
A,1994-08-21,163757,12,12
A,1994-08-22,133998,13,12
A,1994-08-23,115211,7,7
A,1994-08-24,27345,4,4
A,1994-08-25,198444,9,8
A,1994-08-26,66203,6,5
A,1994-08-27,66668,7,7
A,1994-08-28,62610,5,4
A,1994-08-29,209167,13,13
A,1994-08-30,130026,9,9
A,1994-08-31,355062.80008888245,265,120
A,1994-09-01,162773,11,10
A,1994-09-02,109617,9,9
A,1994-09-03,181007,9,8
A,1994-09-04,78200,10,10
A,1994-09-05,267570,19,17
A,1994-09-06,316887,20,19
A,1994-09-07,316759,18,16
A,1994-09-08,322575,20,20
A,1994-09-09,145367,14,13
A,1994-09-10,291942,24,24
A,1994-09-11,162660,20,19
A,1994-09-12,530207.1997070312,60,51
A,1994-09-13,221045,21,19
A,1994-09-14,244420,16,15
A,1994-09-15,117858,11,11
A,1994-09-16,108455,10,10
A,1994-09-17,154980,13,12
A,1994-09-18,82100,12,12
A,1994-09-19,171067,11,11
A,1994-09-20,187773,12,12
A,1994-09-21,16026,4,4
A,1994-09-22,260764,11,9
A,1994-09-23,174548,11,9
A,1994-09-24,105430,8,7
A,1994-09-25,146810,9,8
A,1994-09-26,99317,6,5
A,1994-09-27,11800,2,2
A,1994-09-28,154070,16,16
A,1994-09-29,95520,6,6
A,1994-09-30,295461.60018110275,270,122
A,1994-10-01,113107,11,11
A,1994-10-02,222138,11,10
A,1994-10-03,106519,8,8
A,1994-10-04,111999,13,11
A,1994-10-05,454225,24,22
A,1994-10-06,193969,17,17
A,1994-10-07,307696,23,20
A,1994-10-08,396355,19,19
A,1994-10-09,171555,15,14
A,1994-10-10,249575,24,23
A,1994-10-11,128398,17,16
A,1994-10-12,511985,66,57
A,1994-10-13,174950,17,16
A,1994-10-14,189246,16,15
A,1994-10-15,64219,8,8
A,1994-10-16,49379,5,5
A,1994-10-17,158073,12,12
A,1994-10-18,71971,9,9
A,1994-10-19,177692,14,13
A,1994-10-20,141756,10,10
A,1994-10-21,72615,12,11
A,1994-10-22,153631,11,11
A,1994-10-23,71521,7,7
A,1994-10-24,88074,9,9
A,1994-10-25,26600,5,5
A,1994-10-26,198152,10,9
A,1994-10-27,57495,4,4
A,1994-10-28,191896,15,13
A,1994-10-29,108396,6,6
A,1994-10-30,127412,10,10
A,1994-10-31,235765.00008821487,273,123
A,1994-11-01,161429,11,11
A,1994-11-02,100321,10,10
A,1994-11-03,126116,12,12
A,1994-11-04,135560,9,9
A,1994-11-05,269932,26,25
A,1994-11-06,80441,13,12
A,1994-11-07,180602,16,14
A,1994-11-08,474434,20,17
A,1994-11-09,324013,20,19
A,1994-11-10,143860,18,17
A,1994-11-11,227604,23,21
A,1994-11-12,421465.19921875,70,59
A,1994-11-13,175906,22,20
A,1994-11-14,242842,17,16
A,1994-11-15,111279,8,8
A,1994-11-16,166957,11,10
A,1994-11-17,100306,11,11
A,1994-11-18,107925,10,10
A,1994-11-19,68767,7,7
A,1994-11-20,119310,8,8
A,1994-11-21,151461,10,10
A,1994-11-22,116104,11,10
A,1994-11-23,139912,6,6
A,1994-11-24,117981,7,7
A,1994-11-25,182394,9,8
A,1994-11-26,68130,7,6
A,1994-11-27,126022,11,11
A,1994-11-28,123560,7,6
A,1994-11-29,137534,12,11
A,1994-11-30,175769.500041008,276,125
A,1994-12-01,138349,14,12
A,1994-12-02,132607,13,13
A,1994-12-03,131122,13,11
A,1994-12-04,192549,14,12
A,1994-12-05,630091,36,33
A,1994-12-06,228846,17,15
A,1994-12-07,281881,23,21
A,1994-12-08,411729,23,20
A,1994-12-09,313295.5,20,19
A,1994-12-10,394972,33,30
A,1994-12-11,230355,22,20
A,1994-12-12,542156.9001464844,79,69
A,1994-12-13,337584,24,21
A,1994-12-14,263529.5,20,20
A,1994-12-15,147120,12,12
A,1994-12-16,141674,12,12
A,1994-12-17,178962,14,13
A,1994-12-18,224192,18,18
A,1994-12-19,176215,15,14
A,1994-12-20,115235,12,12
A,1994-12-21,246422,13,11
A,1994-12-22,161346,9,8
A,1994-12-23,108757,10,10
A,1994-12-24,122053,11,11
A,1994-12-25,189996,12,11
A,1994-12-26,257322,17,14
A,1994-12-27,119230,14,14
A,1994-12-28,124467,11,11
A,1994-12-29,127357,10,10
A,1994-12-30,191047,19,17
A,1994-12-31,70279.3999118805,272,128
A,1995-01-01,182140,26,22
A,1995-01-02,265181,30,25
A,1995-01-03,233876,29,26
A,1995-01-04,223471,28,26
A,1995-01-05,381156,36,32
A,1995-01-06,243020,32,27
A,1995-01-07,310443,30,26
A,1995-01-08,450770,37,31
A,1995-01-09,242416,32,25
A,1995-01-10,526392,52,43
A,1995-01-11,298631,36,34
A,1995-01-12,743537.9001464844,96,70
A,1995-01-13,318572,35,31
A,1995-01-14,267913,26,24
A,1995-01-15,206733,26,24
A,1995-01-16,280292,26,25
A,1995-01-17,310326,32,30
A,1995-01-18,225680,28,26
A,1995-01-19,108157,24,24
A,1995-01-20,125900,21,21
A,1995-01-21,155154,24,23
A,1995-01-22,172824,29,29
A,1995-01-23,84360,19,18
A,1995-01-24,226518,24,23
A,1995-01-25,61960,18,16
A,1995-01-26,179363,27,23
A,1995-01-27,124097,18,17
A,1995-01-28,139045,27,24
A,1995-01-29,139033,21,19
A,1995-01-30,165645,25,23
A,1995-01-31,185279.099960804,290,133
A,1995-02-01,78917,11,11
A,1995-02-02,106305,10,10
A,1995-02-03,185311,12,9
A,1995-02-04,47381,7,7
A,1995-02-05,236572,19,19
A,1995-02-06,102933,13,12
A,1995-02-07,236898,22,21
A,1995-02-08,406232,20,17
A,1995-02-09,227689,21,20
A,1995-02-10,257732,24,23
A,1995-02-11,393036,21,15
A,1995-02-12,483628.6003417969,68,60
A,1995-02-13,199442,17,17
A,1995-02-14,209762,20,20
A,1995-02-15,197470,16,15
A,1995-02-16,135228,8,8
A,1995-02-17,227833,14,11
A,1995-02-18,77965,9,8
A,1995-02-19,43560,5,5
A,1995-02-20,120241,10,10
A,1995-02-21,161129,10,10
A,1995-02-22,95287,6,6
A,1995-02-23,92889,10,10
A,1995-02-24,72071,5,5
A,1995-02-25,84521,13,13
A,1995-02-26,69497,5,5
A,1995-02-27,167801,11,10
A,1995-02-28,137400.90004050732,300,136
A,1995-03-01,118394,9,8
A,1995-03-02,199147,12,12
A,1995-03-03,107576,13,13
A,1995-03-04,109235,11,11
A,1995-03-05,459667,30,27
A,1995-03-06,174547,15,15
A,1995-03-07,250690,21,20
A,1995-03-08,383006,25,24
A,1995-03-09,244064,14,13
A,1995-03-10,279404,24,24
A,1995-03-11,231608,20,17
A,1995-03-12,467381.99951171875,74,62
A,1995-03-13,259114,23,23
A,1995-03-14,170865,17,17
A,1995-03-15,312206,15,12
A,1995-03-16,114647,10,10
A,1995-03-17,130750,11,11
A,1995-03-18,201892,15,15
A,1995-03-19,155742,10,10
A,1995-03-20,155095,13,12
A,1995-03-21,74903,6,6
A,1995-03-22,70070,6,6
A,1995-03-23,219848,11,9
A,1995-03-24,35148,6,6
A,1995-03-25,268968,15,12
A,1995-03-26,50000,4,4
A,1995-03-27,82410,11,11
A,1995-03-28,208132,13,12
A,1995-03-29,163563,9,8
A,1995-03-30,196602,13,11
A,1995-03-31,135580.20016670227,299,139
A,1995-04-01,223020,14,13
A,1995-04-02,85077,10,10
A,1995-04-03,131390,10,10
A,1995-04-04,211505,10,8
A,1995-04-05,393668,25,25
A,1995-04-06,179480,17,15
A,1995-04-07,287856,27,24
A,1995-04-08,253512,20,19
A,1995-04-09,169631,17,17
A,1995-04-10,352555,24,23
A,1995-04-11,249763,21,20
A,1995-04-12,579767.6997070312,78,70
A,1995-04-13,203637,22,19
A,1995-04-14,128681,15,15
A,1995-04-15,73600,9,9
A,1995-04-16,180462,11,11
A,1995-04-17,125671,9,9
A,1995-04-18,138227,12,9
A,1995-04-19,61071,9,8
A,1995-04-20,196832,14,14
A,1995-04-21,141120,9,9
A,1995-04-22,144664,12,11
A,1995-04-23,160461,7,3
A,1995-04-24,188316,12,10
A,1995-04-25,45195,5,5
A,1995-04-26,165865,15,14
A,1995-04-27,209141,10,10
A,1995-04-28,62749,6,6
A,1995-04-29,155243,13,11
A,1995-04-30,118501.00008010864,304,141
A,1995-05-01,146395,11,11
A,1995-05-02,198352,14,13
A,1995-05-03,221316,12,11
A,1995-05-04,165728,12,11
A,1995-05-05,380733,23,22
A,1995-05-06,165435,17,17
A,1995-05-07,431963,28,25
A,1995-05-08,378864,24,24
A,1995-05-09,355832,26,24
A,1995-05-10,301111,27,26
A,1995-05-11,201732,24,24
A,1995-05-12,436603.1999511719,75,65
A,1995-05-13,184003,21,20
A,1995-05-14,257891,25,23
A,1995-05-15,228416,13,12
A,1995-05-16,111704,11,9
A,1995-05-17,66120,10,10
A,1995-05-18,87117,8,8
A,1995-05-19,117200,10,10
A,1995-05-20,346923,19,15
A,1995-05-21,177349,14,14
A,1995-05-22,165954,10,9
A,1995-05-23,110817,8,7
A,1995-05-24,63500,4,4
A,1995-05-25,89009,6,5
A,1995-05-26,189874,13,12
A,1995-05-27,260740,15,13
A,1995-05-28,279127,20,18
A,1995-05-29,187309,15,14
A,1995-05-30,188028,14,12
A,1995-05-31,81962.09992218018,310,143
A,1995-06-01,117459,15,15
A,1995-06-02,210107,10,10
A,1995-06-03,129632,7,7
A,1995-06-04,93323,9,9
A,1995-06-05,557140,31,31
A,1995-06-06,309436,23,23
A,1995-06-07,393207.5,27,27
A,1995-06-08,587575,30,28
A,1995-06-09,415528.5,25,22
A,1995-06-10,445744,30,27
A,1995-06-11,324239,23,21
A,1995-06-12,617692.6003417969,76,67
A,1995-06-13,564203,29,27
