account_id,loan_id,trans_id,trans_amount,balance,k_symbol,loan_amount,status,duration,payments
5622,6150,3671895,272.6,86645.8,UROK,83016,A,12,6918.0
5442,6112,3670835,35.4,42667.4,UROK,174744,B,24,7281.0
5270,6077,3669816,259.3,49085.0,UROK,79608,A,24,3317.0
4937,6004,3667904,203.5,56568.2,UROK,143904,A,24,5996.0
7753,6577,3492041,263.8,79603.4,UROK,51696,A,24,2154.0
9188,6863,3479190,50.9,17309.5,UROK,127080,A,60,2118.0
7401,6499,3487888,13.5,25049.5,UROK,80952,A,24,3373.0
9265,6888,3479718,183.5,47196.4,UROK,39576,A,12,3298.0
9307,6895,3479818,46.8,28604.4,UROK,41904,A,12,3492.0
2762,5533,3621883,29.0,30889.0,UROK,111384,A,24,4641.0
11265,7284,3528744,92.4,25372.3,UROK,52788,A,12,4399.0
11013,7240,3526804,77.1,35921.1,UROK,274740,A,60,4579.0
2,4959,3530483,13.5,25049.5,UROK,80952,A,24,3373.0
8519,6729,2579150,1100.0,1100.0,,74688,A,12,6224.0
2762,5533,810155,23272.0,54161.0,,111384,A,24,4641.0
4937,6004,1450019,38655.0,134571.0,,143904,A,24,5996.0
4937,6004,1450519,60500.0,74071.2,,143904,A,24,5996.0
6555,6336,1935821,15800.0,44782.5,,212400,A,36,5900.0
5622,6150,1657646,29500.0,98161.8,,83016,A,12,6918.0
8051,6647,2442347,26040.0,51658.9,,208320,A,48,4340.0
9265,6888,2798253,13000.0,34354.3,,39576,A,12,3298.0
11265,7284,3393742,7618.0,32990.3,,52788,A,12,4399.0
11065,7249,3331514,11855.0,12955.0,,69360,A,48,1445.0
6555,6336,1935495,8763.0,53545.5,,212400,A,36,5900.0
8330,6699,2524760,21118.0,21718.0,,7656,A,24,319.0
2694,5519,790138,5500.0,23839.1,,91632,A,12,7636.0
6425,6306,1897320,12368.0,13068.0,,36684,A,12,3057.0
10364,7121,3122928,14493.0,44118.1,,21924,A,36,609.0
1801,5316,527447,20562.0,89045.8,,165960,A,36,4610.0
8051,6647,2442702,13700.0,37958.9,,208320,A,48,4340.0
7753,6577,2350079,27500.0,52103.4,,51696,A,24,2154.0
9188,6863,2776159,2400.0,27619.5,,127080,A,60,2118.0
2694,5519,789773,17585.0,41424.1,,91632,A,12,7636.0
7445,6509,2256145,17877.0,18077.0,,55368,A,24,2307.0
813,5130,237653,12154.0,38387.4,,24312,A,12,2026.0
5442,6112,1602525,22060.0,64727.4,,174744,B,24,7281.0
5891,6202,1736611,32594.0,74134.4,,65184,A,12,5432.0
7401,6499,2242714,20236.0,45285.5,,80952,A,24,3373.0
2,4959,280,20236.0,45285.5,,80952,A,24,3373.0
4937,6004,1450260,800.0,73271.2, ,143904,A,24,5996.0
3834,5754,1121967,13875.0,42359.5,,23052,A,12,1921.0
8519,6729,2579154,37346.0,38446.0,,74688,A,12,6224.0
11013,7240,3314628,42244.0,78165.1,,274740,A,60,4579.0
9640,6960,2910391,19106.0,39860.8,,76416,A,24,3184.0
1801,5316,528026,54300.0,66212.8,,165960,A,36,4610.0
4937,6004,1450188,2687.0,70584.2,SIPO,143904,A,24,5996.0
5270,6077,1549101,11900.0,37185.0,,79608,A,24,3317.0
7753,6577,2349720,42008.0,94111.4,,51696,A,24,2154.0
7123,6456,2102564,200.0,200.0,,47016,A,12,3918.0
1801,5316,528027,22800.0,43412.8,,165960,A,36,4610.0
9307,6895,2809957,8588.0,37215.4,,41904,A,12,3492.0
5270,6077,1548753,44749.0,81934.0,,79608,A,24,3317.0
11265,7284,3394150,4800.0,28190.3,,52788,A,12,4399.0
11013,7240,3315107,26300.0,51865.1,,274740,A,60,4579.0
2486,5479,726517,42899.0,74031.5,,24516,A,12,2043.0
7445,6509,2256153,8677.0,26754.0,,55368,A,24,2307.0
10738,7192,3235268,200.0,200.0,,115992,A,36,3222.0
10364,7121,3123299,10300.0,33818.1,,21924,A,36,609.0
7445,6509,2256519,100.0,26854.0,,55368,A,24,2307.0
6034,6228,1779375,16300.0,45076.4,,464520,B,60,7742.0
11065,7249,3331814,6000.0,18955.0,,69360,A,48,1445.0
5428,6111,1598769,35931.0,36931.0,,174744,B,24,7281.0
5428,6111,1598771,47436.0,84367.0,,174744,B,24,7281.0
2762,5533,810662,39300.0,64164.0,,111384,A,24,4641.0
7454,6512,2258770,500.0,500.0,,63312,A,48,1319.0
3834,5754,1122557,7600.0,34759.5,,23052,A,12,1921.0
7753,6577,2350080,39200.0,63204.4,,51696,A,24,2154.0
7753,6577,2349712,8293.0,102404.0,,51696,A,24,2154.0
10973,7235,3302598,8897.0,8897.0,,154416,A,48,3217.0
10973,7235,3302582,400.0,9297.0,,154416,A,48,3217.0
5442,6112,1602524,31932.0,96659.4,,174744,B,24,7281.0
7753,6577,2349702,9229.0,72433.4,,51696,A,24,2154.0
1166,5189,343678,200.0,200.0,,149040,A,48,3105.0
5442,6112,1603014,37500.0,59159.4,,174744,B,24,7281.0
1787,5314,524054,9900.0,11000.0,,96396,B,12,8033.0
4937,6004,1450520,19800.0,50784.2,,143904,A,24,5996.0
6040,6229,1781282,1100.0,1100.0,,11736,A,24,489.0
7123,6456,2102583,26000.0,26200.0,,47016,A,12,3918.0
6701,6356,1977583,28137.0,56442.6,,95400,A,36,2650.0
8260,6686,2502174,8200.0,29435.0,,224604,A,36,6239.0
1801,5316,527453,5630.0,49042.8,,165960,A,36,4610.0
4937,6004,1450116,5400.0,45384.2,,143904,A,24,5996.0
5891,6202,1736952,24200.0,49934.4,,65184,A,12,5432.0
5442,6112,1602520,22673.0,81832.4,,174744,B,24,7281.0
10738,7192,3235277,7586.0,7786.0,,115992,A,36,3222.0
9403,6919,2841503,10000.0,10600.0,,120888,A,36,3358.0
6473,6316,1911149,10500.0,40488.6,,76908,B,12,6409.0
7401,6499,2243132,11000.0,34285.5,,80952,A,24,3373.0
2,4959,698,11000.0,34285.5,,80952,A,24,3373.0
9307,6895,2809955,19773.0,49888.4,,41904,A,12,3492.0
6473,6316,1910789,33772.0,74260.6,,76908,B,12,6409.0
8330,6699,2525126,400.0,22118.0,,7656,A,24,319.0
2486,5479,726928,54100.0,48899.5,,24516,A,12,2043.0
2486,5479,726520,28968.0,103000.0,,24516,A,12,2043.0
2486,5479,726929,10000.0,38899.5,,24516,A,12,2043.0
10105,7061,3047484,600.0,600.0,,121896,A,24,5079.0
6425,6306,1897654,6900.0,19968.0,,36684,A,12,3057.0
1801,5316,527462,28095.0,77137.8,,165960,A,36,4610.0
6034,6228,1779020,5911.0,50987.4,,464520,B,60,7742.0
7445,6509,2256141,13472.0,40326.0,,55368,A,24,2307.0
1843,5325,3591352,132.8,49462.7,UROK,105804,A,36,2939.0
2694,5519,3619545,143.7,41567.7,UROK,91632,A,12,7636.0
7123,6456,3680255,32.8,26232.8,UROK,47016,A,12,3918.0
6555,6336,3677025,227.9,53773.5,UROK,212400,A,36,5900.0
6425,6306,3676269,8.3,19976.3,UROK,36684,A,12,3057.0
6701,6356,3677724,152.2,56594.8,UROK,95400,A,36,2650.0
5891,6202,3673342,179.6,50114.0,UROK,65184,A,12,5432.0
7753,6577,2350010,14.6,72749.9,SLUZBY,51696,A,24,2154.0
6034,6228,3453041,252.7,51240.1,UROK,464520,B,60,7742.0
6473,6316,3453602,224.7,74485.3,UROK,76908,B,12,6409.0
7445,6509,3454544,59.7,40385.7,UROK,55368,A,24,2307.0
10364,7121,3520590,131.4,33949.4,UROK,21924,A,36,609.0
9307,6895,3509924,33.3,50053.2,UROK,41904,A,12,3492.0
9640,6960,3513204,131.5,39992.3,UROK,76416,A,24,3184.0
3834,5754,3657068,128.9,34888.4,UROK,23052,A,12,1921.0
3674,5723,3651537,53.0,19280.7,UROK,23628,A,12,1969.0
1843,5325,542078,12200.0,37262.7,,105804,A,36,2939.0
1801,5316,3589602,242.0,77379.8,UROK,165960,A,36,4610.0
5428,6111,3452028,145.7,84512.7,UROK,174744,B,24,7281.0
8519,6729,3501127,96.1,38542.1,UROK,74688,A,12,6224.0
8260,6686,3498211,32.7,29467.7,UROK,224604,A,36,6239.0
8330,6699,3499109,9.2,22139.5,UROK,7656,A,24,319.0
8051,6647,3495773,146.1,38105.0,UROK,208320,A,48,4340.0
9188,6863,3508712,80.4,27699.9,UROK,127080,A,60,2118.0
5442,6112,1602946,14.6,82044.8,SLUZBY,174744,B,24,7281.0
813,5130,3556864,142.9,30530.3,UROK,24312,A,12,2026.0
1801,5316,527820,5669.0,71710.8,,165960,A,36,4610.0
1801,5316,527957,14.6,71696.2,SLUZBY,165960,A,36,4610.0
4937,6004,1450450,14.6,45644.9,SLUZBY,143904,A,24,5996.0
4937,6004,1450427,6300.0,39344.9,,143904,A,24,5996.0
2486,5479,3612224,159.6,39059.2,UROK,24516,A,12,2043.0
5270,6077,3669817,281.6,82215.6,UROK,79608,A,24,3317.0
4937,6004,3667905,275.3,45659.5,UROK,143904,A,24,5996.0
5442,6112,3670836,227.0,82059.4,UROK,174744,B,24,7281.0
5622,6150,3671896,290.0,61651.8,UROK,83016,A,12,6918.0
7753,6577,3492042,331.1,72764.5,UROK,51696,A,24,2154.0
7445,6509,3488397,54.1,40439.7,UROK,55368,A,24,2307.0
9265,6888,3479719,195.8,34550.1,UROK,39576,A,12,3298.0
9188,6863,3479191,103.4,27803.2,UROK,127080,A,60,2118.0
9307,6895,3479819,131.5,50019.9,UROK,41904,A,12,3492.0
7401,6499,3487889,109.5,34394.9,UROK,80952,A,24,3373.0
2762,5533,3621884,284.9,64448.9,UROK,111384,A,24,4641.0
8330,6699,3474654,12.3,22130.3,UROK,7656,A,24,319.0
8519,6729,3475621,101.5,38643.6,UROK,74688,A,12,6224.0
11065,7249,3527294,34.2,18989.2,UROK,69360,A,48,1445.0
11265,7284,3528745,112.2,28302.5,UROK,52788,A,12,4399.0
10973,7235,3526454,13.6,9310.6,UROK,154416,A,48,3217.0
11013,7240,3526805,185.0,52050.0,UROK,274740,A,60,4579.0
2,4959,3530484,109.5,34394.9,UROK,80952,A,24,3373.0
10738,7192,3524002,5.4,7791.4,UROK,115992,A,36,3222.0
3674,5723,1074958,24008.0,43288.7,,23628,A,12,1969.0
2762,5533,810152,45630.0,141386.0,,111384,A,24,4641.0
2762,5533,810132,31307.0,95755.9,,111384,A,24,4641.0
2762,5533,810663,58800.0,82586.0,,111384,A,24,4641.0
8519,6729,2579536,6000.0,32643.6,,74688,A,12,6224.0
10973,7235,3302588,25724.0,35034.6,,154416,A,48,3217.0
7753,6577,2349969,7500.0,65249.9,,51696,A,24,2154.0
6034,6228,1779023,47148.0,98388.1,,464520,B,60,7742.0
5442,6112,1602592,8900.0,73144.8,,174744,B,24,7281.0
6555,6336,1935822,16700.0,37073.5,,212400,A,36,5900.0
8051,6647,2442348,26040.0,64145.0,,208320,A,48,4340.0
10105,7061,3047490,39004.0,39604.0,,121896,A,24,5079.0
1801,5316,527748,956.0,70740.2,POJISTNE,165960,A,36,4610.0
9265,6888,2798254,3700.0,30850.1,,39576,A,12,3298.0
11265,7284,3393743,7618.0,35920.5,,52788,A,12,4399.0
5622,6150,1657648,30300.0,74831.8,,83016,A,12,6918.0
7445,6509,2256140,34334.0,74773.7,,55368,A,24,2307.0
1801,5316,527448,35707.0,106447.0,,165960,A,36,4610.0
8330,6699,2524761,21118.0,43257.5,,7656,A,24,319.0
1843,5325,541686,17632.0,54894.7,,105804,A,36,2939.0
5622,6150,1657306,6327.0,68504.8,SIPO,83016,A,12,6918.0
2694,5519,790139,9400.0,32167.7,,91632,A,12,7636.0
6425,6306,1897321,12368.0,32344.3,,36684,A,12,3057.0
10364,7121,3122929,14493.0,48442.4,,21924,A,36,609.0
3050,5595,894500,900.0,900.0,,82896,A,12,6908.0
8260,6686,2501881,37435.0,66902.7,,224604,A,36,6239.0
5442,6112,1602664,8110.0,62964.8,SIPO,174744,B,24,7281.0
7753,6577,2350081,19100.0,43549.9,,51696,A,24,2154.0
5442,6112,1602522,26226.0,89190.8,,174744,B,24,7281.0
1801,5316,527676,3419.0,103028.0, ,165960,A,36,4610.0
9188,6863,2776160,10200.0,30313.2,,127080,A,60,2118.0
1166,5189,343683,18631.0,18831.0,,149040,A,48,3105.0
2694,5519,789774,17585.0,49752.7,,91632,A,12,7636.0
2486,5479,726526,38062.0,77121.2,,24516,A,12,2043.0
6040,6229,1781287,22065.0,23165.0,,11736,A,24,489.0
813,5130,237948,8300.0,34384.3,,24312,A,12,2026.0
813,5130,237654,12154.0,42684.3,,24312,A,12,2026.0
5622,6150,1657234,7400.0,36504.8,,83016,A,12,6918.0
2486,5479,726532,48133.0,125254.0,,24516,A,12,2043.0
1603,5285,470649,7611.0,8511.0,,78936,A,12,6578.0
790,5126,232062,300.0,300.0,,208128,B,48,4336.0
5891,6202,1736612,32594.0,82708.0,,65184,A,12,5432.0
9640,6960,2910860,8900.0,31092.3,,76416,A,24,3184.0
2486,5479,726644,2000.0,73554.2,,24516,A,12,2043.0
2,4959,281,20236.0,54630.9,,80952,A,24,3373.0
1801,5316,527604,4167.0,98861.2,SIPO,165960,A,36,4610.0
4937,6004,1450261,800.0,26247.9, ,143904,A,24,5996.0
8261,6687,2502334,500.0,500.0,,87840,A,24,3660.0
8519,6729,2579155,37346.0,69989.6,,74688,A,12,6224.0
9640,6960,2910392,19106.0,50198.3,,76416,A,24,3184.0
5442,6112,1602808,1017.0,88173.8,POJISTNE,174744,B,24,7281.0
2762,5533,810333,6892.0,74961.0,SIPO,111384,A,24,4641.0
4937,6004,1450189,2687.0,23560.9,SIPO,143904,A,24,5996.0
5270,6077,1549102,27800.0,54415.6,,79608,A,24,3317.0
7123,6456,2103028,2400.0,23832.8,,47016,A,12,3918.0
6701,6356,1977906,32600.0,59754.8,,95400,A,36,2650.0
6701,6356,1977571,35760.0,92354.8,,95400,A,36,2650.0
5622,6150,1657378,573.0,35931.8, ,83016,A,12,6918.0
2762,5533,810144,16576.0,91537.0,,111384,A,24,4641.0
2762,5533,810261,5800.0,85737.0,,111384,A,24,4641.0
1801,5316,528028,37100.0,61761.2,,165960,A,36,4610.0
5270,6077,1548754,44749.0,99164.6,,79608,A,24,3317.0
11265,7284,3394151,6000.0,29920.5,,52788,A,12,4399.0
8261,6687,2502339,21959.0,22459.0,,87840,A,24,3660.0
11013,7240,3315108,35000.0,59294.0,,274740,A,60,4579.0
10973,7235,3302586,25060.0,60094.6,,154416,A,48,3217.0
5622,6150,1657450,12595.0,23336.8,,83016,A,12,6918.0
2762,5533,810136,11409.0,97146.0,,111384,A,24,4641.0
7753,6577,2349880,16818.0,26731.9,,51696,A,24,2154.0
4937,6004,1450117,6700.0,16860.9,,143904,A,24,5996.0
6034,6228,1779018,27555.0,125943.0,,464520,B,60,7742.0
6034,6228,1779376,41000.0,84943.1,,464520,B,60,7742.0
3674,5723,1074964,38086.0,73474.7,,23628,A,12,1969.0
10738,7192,3235783,6800.0,14591.4,,115992,A,36,3222.0
10364,7121,3123300,9900.0,38542.4,,21924,A,36,609.0
7445,6509,2256520,23200.0,51573.7,,55368,A,24,2307.0
9403,6919,2841124,48618.0,59218.0,,120888,A,36,3358.0
6034,6228,1779107,5900.0,54643.1,,464520,B,60,7742.0
6034,6228,1779377,24400.0,60543.1,,464520,B,60,7742.0
11065,7249,3331815,4800.0,26044.2,,69360,A,48,1445.0
2762,5533,810664,37300.0,59846.0,,111384,A,24,4641.0
7454,6512,2259208,10500.0,15166.0,,63312,A,48,1319.0
3834,5754,1122558,13100.0,35663.4,,23052,A,12,1921.0
11111,7259,3344696,900.0,900.0,,108144,A,36,3004.0
10973,7235,3302976,19200.0,40894.6,,154416,A,48,3217.0
9591,6950,2895443,400.0,400.0,,104712,A,24,4363.0
9828,6996,2967125,400.0,400.0,,126600,A,24,5275.0
1166,5189,344084,2200.0,21031.0,,149040,A,48,3105.0
5442,6112,1603015,34200.0,53973.8,,174744,B,24,7281.0
7445,6509,2256154,17763.0,69336.7,,55368,A,24,2307.0
1787,5314,524055,5800.0,16800.0,,96396,B,12,8033.0
4937,6004,1450521,2800.0,19660.9,,143904,A,24,5996.0
6034,6228,1779182,2025.0,52618.1,,464520,B,60,7742.0
6040,6229,1781797,2700.0,25865.0,,11736,A,24,489.0
5270,6077,1548993,11400.0,87764.6,,79608,A,24,3317.0
3064,5599,898744,1000.0,1000.0,,15420,A,12,1285.0
8260,6686,2502175,23200.0,43702.7,,224604,A,36,6239.0
9307,6895,2810465,12300.0,37753.2,,41904,A,12,3492.0
9403,6919,2841119,28658.0,87876.0,,120888,A,36,3358.0
7753,6577,2349716,46889.0,73620.9,,51696,A,24,2154.0
5891,6202,1736953,29400.0,53308.0,,65184,A,12,5432.0
11111,7259,3344708,37064.0,37964.0,,108144,A,36,3004.0
5622,6150,1657171,39319.0,62655.8,,83016,A,12,6918.0
1801,5316,527532,5700.0,56061.2,,165960,A,36,4610.0
7753,6577,2349703,9285.0,82905.9,,51696,A,24,2154.0
9403,6919,2841504,33000.0,54876.0,,120888,A,36,3358.0
6473,6316,1911150,26000.0,48485.3,,76908,B,12,6409.0
7401,6499,2243133,17600.0,37030.9,,80952,A,24,3373.0
2,4959,699,17600.0,37030.9,,80952,A,24,3373.0
6473,6316,1910794,20639.0,69124.3,,76908,B,12,6409.0
8330,6699,2525127,10900.0,32357.5,,7656,A,24,319.0
7753,6577,2349706,5916.0,88821.9,,51696,A,24,2154.0
7753,6577,2349968,3000.0,85821.9,,51696,A,24,2154.0
9403,6919,2841505,16600.0,86729.0,,120888,A,36,3358.0
2486,5479,726931,24200.0,49354.2,,24516,A,12,2043.0
10105,7061,3047894,6600.0,33004.0,,121896,A,24,5079.0
6425,6306,1897655,5500.0,26844.3,,36684,A,12,3057.0
9403,6919,2841120,48453.0,103329.0,,120888,A,36,3358.0
6034,6228,1779039,20832.0,73450.1,,464520,B,60,7742.0
10911,7220,3284048,1000.0,1000.0,,131292,A,36,3647.0
5428,6111,1598766,23151.0,76863.7,,174744,B,24,7281.0
6701,6356,1977577,20984.0,80738.8,,95400,A,36,2650.0
1843,5325,542079,15600.0,39294.7,,105804,A,36,2939.0
7445,6509,2256139,14480.0,83816.7,,55368,A,24,2307.0
2962,5576,869680,1000.0,1000.0,,31248,A,12,2604.0
1843,5325,3591353,155.8,39450.5,UROK,105804,A,36,2939.0
2694,5519,3619546,197.2,49949.9,UROK,91632,A,12,7636.0
5891,6202,3673343,211.2,53519.3,UROK,65184,A,12,5432.0
